lineage	scope	seed	panel_id	scenario	approach	n_leaves	n_contaminants	n_predicted	n_true_positive	n_false_positive	precision	recall	f1	tree_rf_delta	collateral_genome_loss_count	runtime_seconds	status
flavo	family	303	flavo_family	combined	plie	500	4	24	3	21	0.125	0.75	0.21428571428571427	0.0	0	0.3062257766723633	ok
flavo	order	101	flavo_order	replacement_only	recipient_consensus	0	4	3	3	0	1.0	0.75	0.8571428571428571	0.0	0	0.0	ok
flavo	order	101	flavo_order	replacement_only	gcp	500	4	7	4	3	0.5714285714285714	1.0	0.7272727272727273	0.0	0	0.22860503196716309	ok
flavo	order	101	flavo_order	replacement_only	cmtv	500	4	33	0	33	0.0	0.0	0.0	0.0	0	0.2223525047302246	ok
flavo	order	101	flavo_order	replacement_only	plie	500	4	22	4	18	0.18181818181818182	1.0	0.3076923076923077	0.0	0	0.2713327407836914	ok
flavo	order	101	flavo_order	combined	recipient_consensus	0	4	1	1	0	1.0	0.25	0.4	0.0212765957446808	0	0.0	ok
flavo	order	101	flavo_order	combined	gcp	500	4	8	4	4	0.5	1.0	0.6666666666666666	0.0	0	0.23159122467041016	ok
flavo	order	101	flavo_order	combined	cmtv	500	4	35	2	33	0.05714285714285714	0.5	0.10256410256410256	0.0	0	0.2230379581451416	ok
flavo	order	101	flavo_order	combined	plie	500	4	23	4	19	0.17391304347826086	1.0	0.29629629629629634	0.0	0	0.2785320281982422	ok
flavo	order	202	flavo_order	replacement_only	recipient_consensus	0	4	2	2	0	1.0	0.5	0.6666666666666666	-0.0212765957446808	0	0.0	ok
flavo	order	202	flavo_order	replacement_only	gcp	500	4	6	4	2	0.6666666666666666	1.0	0.8	0.0	0	0.2277817726135254	ok
flavo	order	202	flavo_order	replacement_only	cmtv	500	4	33	2	31	0.06060606060606061	0.5	0.10810810810810813	0.0	0	0.21915078163146973	ok
flavo	order	202	flavo_order	replacement_only	plie	500	4	24	4	20	0.16666666666666666	1.0	0.2857142857142857	0.0	0	0.26233506202697754	ok
flavo	order	202	flavo_order	combined	recipient_consensus	0	4	2	2	0	1.0	0.5	0.6666666666666666	0.0212765957446808	0	0.0	ok
flavo	order	202	flavo_order	combined	gcp	500	4	7	4	3	0.5714285714285714	1.0	0.7272727272727273	0.0	0	0.23362994194030762	ok
flavo	order	202	flavo_order	combined	cmtv	500	4	33	2	31	0.06060606060606061	0.5	0.10810810810810813	0.0	0	0.22850584983825684	ok
flavo	order	202	flavo_order	combined	plie	500	4	26	4	22	0.15384615384615385	1.0	0.2666666666666667	0.0	0	0.25472521781921387	ok
flavo	order	303	flavo_order	replacement_only	recipient_consensus	0	4	1	1	0	1.0	0.25	0.4	0.0	0	0.0	ok
flavo	order	303	flavo_order	replacement_only	gcp	500	4	7	4	3	0.5714285714285714	1.0	0.7272727272727273	0.0	0	0.2285628318786621	ok
flavo	order	303	flavo_order	replacement_only	cmtv	500	4	34	3	31	0.08823529411764706	0.75	0.15789473684210525	0.0	0	0.22092270851135254	ok
flavo	order	303	flavo_order	replacement_only	plie	500	4	24	4	20	0.16666666666666666	1.0	0.2857142857142857	0.0	0	0.2589399814605713	ok
flavo	order	303	flavo_order	combined	recipient_consensus	0	4	1	1	0	1.0	0.25	0.4	0.0	0	0.0	ok
flavo	order	303	flavo_order	combined	gcp	500	4	6	3	3	0.5	0.75	0.6	0.0	0	0.2350001335144043	ok
flavo	order	303	flavo_order	combined	cmtv	500	4	33	3	30	0.09090909090909091	0.75	0.16216216216216214	0.0	0	0.22272562980651855	ok
flavo	order	303	flavo_order	combined	plie	500	4	22	3	19	0.13636363636363635	0.75	0.23076923076923075	0.0	0	0.2820303440093994	ok
flavo	mixed_high_level	101	flavo_mixed_high_level	mixed_high_level	recipient_consensus	0	5	3	3	0	1.0	0.6	0.7499999999999999	0.0638297872340425	0	0.0	ok
flavo	mixed_high_level	101	flavo_mixed_high_level	mixed_high_level	gcp	500	5	7	5	2	0.7142857142857143	1.0	0.8333333333333333	0.0	0	0.229248046875	ok
flavo	mixed_high_level	101	flavo_mixed_high_level	mixed_high_level	cmtv	500	5	31	2	29	0.06451612903225806	0.4	0.1111111111111111	0.0	0	0.21990489959716797	ok
flavo	mixed_high_level	101	flavo_mixed_high_level	mixed_high_level	plie	500	5	20	5	15	0.25	1.0	0.4	0.0	0	0.26440858840942383	ok
flavo	mixed_high_level	202	flavo_mixed_high_level	mixed_high_level	recipient_consensus	0	5	3	3	0	1.0	0.6	0.7499999999999999	0.0	0	0.0	ok
flavo	mixed_high_level	202	flavo_mixed_high_level	mixed_high_level	gcp	500	5	6	5	1	0.8333333333333334	1.0	0.9090909090909091	0.0	0	0.24912762641906738	ok
flavo	mixed_high_level	202	flavo_mixed_high_level	mixed_high_level	cmtv	500	5	34	2	32	0.058823529411764705	0.4	0.10256410256410256	0.0	0	0.22165751457214355	ok
flavo	mixed_high_level	202	flavo_mixed_high_level	mixed_high_level	plie	500	5	20	5	15	0.25	1.0	0.4	0.0	0	0.26996493339538574	ok
flavo	mixed_high_level	303	flavo_mixed_high_level	mixed_high_level	recipient_consensus	0	5	2	2	0	1.0	0.4	0.5714285714285715	0.0212765957446808	0	0.0	ok
flavo	mixed_high_level	303	flavo_mixed_high_level	mixed_high_level	gcp	500	5	7	5	2	0.7142857142857143	1.0	0.8333333333333333	0.0	0	0.23104023933410645	ok
flavo	mixed_high_level	303	flavo_mixed_high_level	mixed_high_level	cmtv	500	5	37	2	35	0.05405405405405406	0.4	0.09523809523809523	0.0	0	0.22095823287963867	ok
flavo	mixed_high_level	303	flavo_mixed_high_level	mixed_high_level	plie	500	5	23	4	19	0.17391304347826086	0.8	0.2857142857142857	0.0	0	0.29705071449279785	ok
gamma	genus	101	gamma_genus	replacement_only	recipient_consensus	0	4	0	0	0	0.0	0.0	0.0	0.0	4	0.0	ok
gamma	genus	101	gamma_genus	replacement_only	gcp	427	4	6	0	6	0.0	0.0	0.0	0.0	0	0.2214198112487793	ok
gamma	genus	101	gamma_genus	replacement_only	cmtv	427	4	26	0	26	0.0	0.0	0.0	0.0	0	0.16049504280090332	ok
gamma	genus	101	gamma_genus	replacement_only	plie	427	4	24	0	24	0.0	0.0	0.0	0.0	0	0.26649928092956543	ok
gamma	genus	101	gamma_genus	combined	recipient_consensus	0	4	0	0	0	0.0	0.0	0.0	0.0232558139534883	4	0.0	ok
gamma	genus	101	gamma_genus	combined	gcp	427	4	5	0	5	0.0	0.0	0.0	0.0	0	0.22225499153137207	ok
gamma	genus	101	gamma_genus	combined	cmtv	427	4	30	0	30	0.0	0.0	0.0	0.0	0	0.15964007377624512	ok
gamma	genus	101	gamma_genus	combined	plie	427	4	23	1	22	0.043478260869565216	0.25	0.07407407407407408	0.0	0	0.26122093200683594	ok
gamma	genus	202	gamma_genus	replacement_only	recipient_consensus	0	4	1	1	0	1.0	0.25	0.4	0.0	4	0.0	ok
gamma	genus	202	gamma_genus	replacement_only	gcp	427	4	6	1	5	0.16666666666666666	0.25	0.2	0.0	0	0.22278833389282227	ok
gamma	genus	202	gamma_genus	replacement_only	cmtv	427	4	25	0	25	0.0	0.0	0.0	0.0	0	0.16175246238708496	ok
gamma	genus	202	gamma_genus	replacement_only	plie	427	4	27	1	26	0.037037037037037035	0.25	0.06451612903225806	0.0	0	0.2549574375152588	ok
gamma	genus	202	gamma_genus	combined	recipient_consensus	0	4	0	0	0	0.0	0.0	0.0	0.0232558139534883	4	0.0	ok
gamma	genus	202	gamma_genus	combined	gcp	427	4	7	0	7	0.0	0.0	0.0	0.0	0	0.23012399673461914	ok
gamma	genus	202	gamma_genus	combined	cmtv	427	4	26	1	25	0.038461538461538464	0.25	0.06666666666666668	0.0	0	0.15790700912475586	ok
gamma	genus	202	gamma_genus	combined	plie	427	4	23	1	22	0.043478260869565216	0.25	0.07407407407407408	0.0	0	0.2738611698150635	ok
gamma	genus	303	gamma_genus	replacement_only	recipient_consensus	0	4	0	0	0	0.0	0.0	0.0	0.0	4	0.0	ok
gamma	genus	303	gamma_genus	replacement_only	gcp	427	4	7	0	7	0.0	0.0	0.0	0.0	0	0.22220873832702637	ok
gamma	genus	303	gamma_genus	replacement_only	cmtv	427	4	26	0	26	0.0	0.0	0.0	0.0	0	0.18585753440856934	ok
gamma	genus	303	gamma_genus	replacement_only	plie	427	4	22	0	22	0.0	0.0	0.0	0.0	0	0.2567565441131592	ok
gamma	genus	303	gamma_genus	combined	recipient_consensus	0	4	0	0	0	0.0	0.0	0.0	0.0	4	0.0	ok
gamma	genus	303	gamma_genus	combined	gcp	427	4	6	0	6	0.0	0.0	0.0	0.0	0	0.22080540657043457	ok
